Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Class
0.015,0.01,0.013199999999999998,0.026,0.02,0.039,0.344,0.1104,0.095,0.15,0.382,0.424,0.27,0.514,0.20400000000000001,0.2424,0.254,1.026,0.403,0.455,0.552,0.599,0.585,0.711,4.75,0.986,1.0,0.958,4.32,0.713,0.7068,0.432,0.29,0.174,0.077,0.23,0.492,0.93,0.331,0.222,0.435,0.618,0.905,0.324,0.112,0.29519999999999996,0.112,0.475,0.041,0.012,0.005,0.005,0.004,0.004,0.001,0.005,0.004,0.001,0.003,0.003,1
0.032,0.096,0.132,0.141,0.167,0.20520000000000002,0.292,0.14,0.208,0.351,0.179,0.132,0.051,0.375,0.542,0.544,0.515,1.278,0.202,0.5075999999999999,0.772,0.974,0.939,0.556,3.1619999999999995,0.683,0.571,0.6516000000000001,1.308,0.215,0.581,0.7584,0.296,0.374,0.297,0.516,1.23,1.284,0.548,0.613,3.0119999999999996,0.714,0.98,0.35,0.26,0.18,0.224,0.525,0.051,0.016,0.02,0.024,0.025,0.013,0.007,0.014,0.009,0.014,0.0048,0.01,1
0.0288,0.044,0.0204,0.052,0.075,0.112,0.6048,0.172,0.307,0.32,0.295,0.248,0.30119999999999997,0.181,0.141,0.604,0.364,2.334,0.298,0.444,0.162,0.134,0.205,0.379,2.885,0.9047999999999999,0.841,1.026,4.52,1.0,1.158,0.791,0.641,0.599,0.8208000000000001,0.9324,0.808,4.458,0.756,0.571,2.215,1.2096,2.28,0.495,0.437,0.864,0.226,0.9899999999999999,0.093,0.022,0.021,0.022,0.018,0.0096,0.0072,0.004,0.0072,0.005,0.006,0.004,0
0.022,0.006,0.016,0.049,0.052,0.085,0.3888,0.183,0.223,0.181,0.51,0.298,0.262,0.189,0.0804,0.534,0.5124,1.887,0.778,0.769,0.81,1.0188,0.944,0.945,4.83,0.9648,0.497,0.4752,1.93,1.114,0.731,0.855,0.942,0.873,0.8004,0.938,0.155,0.525,0.361,0.521,3.1079999999999997,1.11,1.12,0.0984,0.04,0.2808,0.105,0.515,0.076,0.022,0.017,0.010799999999999999,0.01,0.002,0.0096,0.006,0.002,0.0084,0.007,0.004,0
0.026,0.054,0.039,0.024,0.132,0.1584,0.644,0.2568,0.085,0.056,0.089,0.086,0.153,0.152,0.185,0.287,0.2412,0.825,0.502,0.217,0.498,0.526,0.73,0.6923999999999999,2.58,0.572,0.401,0.438,3.34,0.866,0.966,0.408,0.676,0.509,0.8136,0.731,0.606,2.112,1.77,0.898,3.875,2.175,4.638,0.776,0.601,1.6236,0.31,0.93,0.096,0.021,0.021,0.01,0.018,0.01,0.0156,0.02,0.004,0.02,0.052,0.036,1
0.029,0.0768,0.0468,0.0204,0.048,0.082,0.396,0.0384,0.074,0.086,0.041,0.047,0.084,0.094,0.147,0.081,0.118,0.654,0.333,0.326,0.2532,0.46,0.336,0.426,2.766,0.261,0.087,0.286,3.366,0.834,1.62,0.725,0.805,0.944,1.0,1.0752,0.6624,1.0944,0.234,0.238,1.66,1.146,0.79,0.223,0.158,0.429,0.163,0.565,0.057,0.0156,0.017,0.004,0.005,0.008,0.008,0.008,0.01,0.016,0.01,0.001,1
0.024,0.019,0.047,0.044,0.132,0.148,0.552,0.22,0.276,0.138,0.1128,0.026,0.15,0.34199999999999997,0.6888,0.828,0.867,2.439,0.904,0.905,1.0,0.998,0.987,0.976,4.505,0.972,0.968,0.763,2.215,0.382,0.5676,0.401,0.338,0.317,0.222,0.073,0.269,1.134,0.071,0.106,0.69,0.09,0.445,0.146,0.135,0.117,0.055,0.235,0.02,0.02,0.016,0.009,0.015,0.016,0.002,0.008,0.004,0.003,0.004,0.002,1
0.016,0.004,0.024,0.05279999999999999,0.063,0.092,0.548,0.108,0.186,0.178,0.216,0.3084,0.309,0.383,0.439,0.534,0.72,2.4228,0.731,0.809,0.894,0.967,1.0,0.989,5.628,0.899,0.918,0.913,4.686,0.7223999999999999,0.376,0.33,0.228,0.0252,0.224,0.179,0.237,0.852,0.224,0.272,1.68,0.765,1.122,0.216,0.128,0.231,0.1284,0.475,0.064,0.023,0.013,0.0204,0.014,0.011,0.006,0.016,0.009,0.0048,0.005,0.003,0
0.016,0.021,0.028,0.06,0.092,0.0936,0.544,0.078,0.104,0.157,0.248,0.278,0.29,0.296,0.319,0.189,0.173,0.8028000000000001,0.243,0.315,0.49199999999999994,0.381,0.588,1.258,3.76,0.798,0.883,1.1904,4.61,0.698,0.617,0.507,0.4704,0.352,0.2616,0.124,0.159,0.489,0.28319999999999995,0.496,2.44,0.816,0.708,0.116,0.145,0.564,0.195,0.894,0.051,0.016,0.019,0.015,0.006,0.008,0.009,0.0048,0.012,0.0072,0.005,0.002,0
0.006,0.027,0.022,0.056,0.094,0.115,0.284,0.1,0.167,0.186,0.248,0.542,0.586,0.264,0.188,0.14,0.203,0.783,0.278,0.335,0.383,0.4,0.511,0.8232,3.745,0.784,0.902,2.0,4.445,0.651,1.216,0.446,0.295,0.173,0.149,0.08,0.177,0.414,0.24,0.24599999999999997,0.985,0.834,0.828,0.068,0.0792,0.996,0.181,0.62,0.052,0.0048,0.021599999999999998,0.007,0.006,0.007,0.007,0.008,0.004,0.0024,0.003,0.001,0
0.0288,0.032,0.042,0.04,0.079,0.077,0.352,0.114,0.159,0.24599999999999997,0.318,0.31,0.28559999999999997,0.192,0.17159999999999997,0.20879999999999999,0.178,1.71,0.504,0.617,1.524,0.812,0.779,0.879,4.405,1.894,1.0,0.974,4.225,0.615,0.43,0.632,0.287,0.2424,0.121,0.0324,0.0696,0.378,0.1284,0.216,0.216,0.36,1.03,0.205,0.2256,0.615,0.344,0.642,0.096,0.017,0.019,0.01,0.007,0.008,0.004,0.003,0.003,0.0012,0.004,0.006,0
0.013,0.024,0.008,0.022,0.0276,0.048,0.296,0.066,0.137,0.208,0.46,0.2388,0.14159999999999998,0.2268,0.295,0.534,0.685,2.376,0.9863999999999999,0.729,0.735,0.792,0.806,0.49,1.158,0.3504,1.252,0.855,8.97,0.782,0.6204,0.484,0.404,0.341,0.285,0.235,0.27,1.332,0.432,0.331,0.6,1.002,2.22,0.307,0.094,0.462,0.139,0.385,0.0744,0.023,0.011,0.017,0.009,0.008,0.006,0.006,0.0036,0.007,0.003,0.005,0
0.011,0.045,0.029,0.071,0.108,0.102,0.644,0.424,0.306,0.588,0.31,0.4116,0.246,0.189,0.118,0.208,0.274,0.981,0.468,0.126,0.058,0.1488,0.3888,0.436,2.865,1.564,0.925,0.935,9.35,1.0,0.931,0.848,0.76,0.704,0.754,0.9588,0.767,1.788,0.473,0.484,2.6039999999999996,1.185,2.42,0.538,0.5376,0.801,0.154,0.68,0.094,0.026,0.016,0.0192,0.0144,0.022,0.004,0.01,0.007,0.006,0.002,0.0048,0
0.013,0.052,0.062,0.052,0.1284,0.259,0.92,0.207,0.41040000000000004,0.428,0.302,0.121,0.33,0.6851999999999999,0.696,0.975,1.0,2.787,1.242,0.918,0.6,0.6036,0.708,0.842,4.055,0.9228,0.81,0.62,1.416,0.26,0.756,0.676,0.29,0.439,0.853,0.718,0.48,1.758,0.5988,0.287,0.3,0.351,1.6440000000000001,0.281,0.208,0.198,0.049,0.17,0.034,0.058,0.0036,0.021,0.005,0.02,0.013,0.002,0.004,0.003,0.011,0.008,1
0.027,0.010799999999999999,0.014,0.028,0.041,0.076,0.412,0.114,0.079,0.152,0.168,0.16440000000000002,0.136,0.134,0.2568,0.535,0.683,3.36,0.309,0.646,0.443,0.557,0.578,0.617,4.065,1.1784,0.982,0.917,3.71,0.774,0.847,0.882,0.667,0.608,0.624,0.597,0.572,1.8864,0.292,0.308,1.2,0.7308,1.3259999999999998,0.21359999999999998,0.135,0.411,0.075,0.235,0.032,0.021599999999999998,0.004,0.008,0.001,0.002,0.007,0.004,0.012,0.013,0.007,0.009,1
0.097,0.082,0.063,0.061,0.0744,0.121,0.376,0.422,0.574,0.6023999999999999,0.41879999999999995,0.20400000000000001,0.208,0.618,0.422,0.6372,0.244,0.564,0.191,0.832,1.0,0.408,0.1152,0.193,2.42,0.379,0.289,0.345,1.89,0.521,0.232,0.4008,0.478,0.612,0.67,0.738,0.8832,2.337,0.679,1.052,1.38,0.462,2.02,0.223,0.422,0.921,0.133,0.675,0.106,0.05,0.021,0.007,0.008,0.03,0.038,0.021,0.0156,0.02,0.021,0.004,0
0.013,0.015,0.064,0.173,0.256,0.256,2.36,0.411,0.498,0.592,0.6995999999999999,0.542,0.547,0.531,0.498,0.698,0.829,4.704,0.9863999999999999,0.936,1.0,0.922,0.784,0.547,2.28,0.7103999999999999,0.545,0.397,0.44,0.238,0.2,0.059,0.254,0.201,0.033,0.155,0.121,0.735,0.3804,0.384,1.8299999999999998,0.252,0.635,0.1656,0.1368,0.156,0.0084,0.14,0.044399999999999995,0.012,0.015,0.009,0.004,0.01,0.012,0.001,0.021599999999999998,0.010799999999999999,0.012,0.0072,1
0.023,0.085,0.1,0.043,0.112,0.198,0.64,0.212,0.66,0.704,0.333,0.364,0.402,0.946,0.52,0.657,1.686,2.544,0.834,0.845,0.96,0.854,0.964,1.0,4.68,0.941,1.0884,0.852,3.16,0.567,0.7,0.245,0.17,0.329,0.734,0.2796,0.28919999999999996,0.768,0.189,0.194,1.535,0.834,0.155,0.1488,0.185,0.525,0.108,0.73,0.0288,0.019,0.0192,0.034,0.038,0.026,0.014,0.012,0.0144,0.009,0.001,0.004,0
0.054,0.0624,0.1008,0.069,0.118,0.3096,0.864,0.348,0.334,0.287,0.5903999999999999,0.655,1.384,0.78,0.746,1.888,1.0,3.1932,0.802,0.782,0.521,0.405,0.4752,0.391,1.625,0.32,0.327,0.277,2.6519999999999997,0.203,0.4548,0.295,0.396,0.234,0.131,0.418,0.384,0.318,0.184,0.394,1.002,0.174,1.4,0.326,0.062,0.12,0.053,0.444,0.0492,0.006,0.012,0.008,0.009,0.006,0.009,0.019,0.028,0.005,0.005,0.008,1
0.071,0.18,0.128,0.3,0.256,0.116,0.6144,0.168,0.183,0.2556,0.289,0.398,0.458,0.582,0.503,0.193,0.258,1.908,0.548,0.619,0.896,0.744,1.038,0.3372,0.885,0.7932,0.758,0.512,2.35,0.548,0.435,0.1536,0.10200000000000001,0.093,0.031,0.12,0.21359999999999998,0.477,0.3,0.221,0.876,1.044,1.6,0.141,0.063,0.219,0.08,0.366,0.056,0.029,0.018,0.018,0.016,0.005,0.003,0.005,0.009,0.01,0.012,0.0084,0
0.073,0.125,0.166,0.18,0.144,0.33240000000000003,1.024,0.171,0.047,0.13319999999999999,0.20879999999999999,0.316,0.325,0.432,0.203,0.258,0.18,0.726,0.722,0.21719999999999998,0.312,0.657,0.973,0.976,8.08,0.652,0.5903999999999999,0.536,3.825,0.525,0.51,0.422,0.4992,0.2292,0.022,0.5064,0.55,0.744,0.203,0.273,1.42,1.6056000000000001,1.59,0.0972,0.119,0.7668,0.3888,1.764,0.294,0.042,0.043199999999999995,0.05279999999999999,0.0276,0.058,0.0168,0.0192,0.036,0.022799999999999997,0.042,0.0072,0
0.062,0.052,0.065,0.052,0.061,0.0696,0.3168,0.132,0.1752,0.279,0.776,0.499,0.498,0.5963999999999999,0.561,0.8807999999999999,0.823,5.502,1.996,1.1892,0.824,0.78,0.598,0.486,1.575,0.154,0.099,0.028,0.505,0.528,0.32280000000000003,0.293,0.292,0.4,0.366,0.317,0.461,1.311,0.182,0.338,3.1,1.6019999999999999,1.116,0.142,0.07079999999999999,0.174,0.067,0.135,0.024,0.019,0.006,0.0384,0.022799999999999997,0.014,0.028,0.018,0.005,0.012,0.012,0.0072,0
0.022,0.026399999999999996,0.054,0.045599999999999995,0.122,0.206,0.7152,0.093,0.135,0.18,0.249,0.3564,0.734,0.5267999999999999,0.526,0.676,0.74,2.484,1.806,0.958,2.0,0.998,0.89,0.749,3.185,0.674,0.721,0.682,2.755,0.958,0.392,0.253,0.109,0.139,0.255,0.33,0.564,0.7704,0.227,0.214,2.35,0.861,1.56,0.192,0.1512,0.3,0.095,0.605,0.073,0.017,0.0252,0.054,0.018,0.052,0.01,0.0048,0.006,0.014,0.01,0.002,0
0.024,0.018,0.054,0.023,0.08639999999999999,0.083,0.5903999999999999,0.156,0.208,0.3264,0.219,0.36479999999999996,0.296,0.206,0.10919999999999999,0.161,0.18,0.7848,0.2436,0.151,0.052,0.214,0.5196,1.188,3.465,0.758,0.879,1.0872,4.265,1.0908,0.966,0.931,1.554,0.664,0.66,0.688,0.694,3.558,0.6923999999999999,0.622,2.92,1.359,2.455,0.576,0.501,1.212,0.312,1.115,0.216,0.041,0.025,0.013,0.005,0.01,0.01,0.018,0.008,0.002,0.005,0.008,0
0.012,0.004,0.02,0.021,0.018,0.049,0.012,0.04,0.079,0.048,0.115,0.0624,0.119,0.194,0.184,0.208,0.196,0.489,0.1464,0.102,0.162,0.316,0.928,0.7091999999999999,3.39,1.624,0.859,0.923,4.195,0.724,0.7548,0.518,0.463,0.526,0.618,0.393,0.128,0.123,0.086,0.113,0.655,0.528,1.325,0.392,0.0792,0.174,0.032,0.18,0.0324,0.007,0.015,0.024,0.013,0.0036,0.004,0.002,0.011,0.012,0.005,0.007,1
0.005,0.006,0.008,0.055,0.088,0.128,0.668,0.137,0.292,0.347,0.326,0.326,0.23,0.125,0.21,0.24,0.2316,0.501,0.123,0.09,0.1872,0.3948,1.054,0.8088000000000001,3.955,0.894,1.128,0.949,4.52,1.098,0.883,0.809,1.436,1.344,0.645,0.688,0.624,1.7784,0.828,0.5087999999999999,2.275,1.317,2.16,0.492,0.471,0.96,0.224,0.905,0.099,0.025,0.013,0.01,0.013,0.007,0.004,0.007,0.0072,0.004,0.0,0.003,0
0.036,0.042,0.049,0.061,0.017,0.135,0.584,0.112,0.194,0.235,0.348,0.281,0.158,0.027,0.067,0.144,0.207,0.792,0.566,0.5147999999999999,0.568,0.699,1.45,0.9144,4.62,1.0,1.1976,0.83,3.515,0.714,0.689,0.496,0.3096,0.097,0.0936,0.043199999999999995,0.18839999999999998,0.546,0.135,0.085,0.294,0.411,1.55,0.186,0.132,0.294,0.126,0.475,0.0588,0.024,0.004,0.009,0.005,0.013,0.004,0.008,0.0036,0.008,0.004,0.005,0
0.033,0.022,0.0324,0.096,0.068,0.098,0.336,0.1404,0.076,0.184,0.148,0.0624,0.1344,0.097,0.117,0.168,0.164,0.72,0.0588,0.154,0.348,0.738,1.098,0.936,5.207999999999999,0.877,0.855,0.883,5.0,0.83,0.66,0.55,0.6863999999999999,0.686,0.682,0.6168,0.275,0.408,0.31,0.265,0.995,0.564,1.375,0.198,0.0696,0.21,0.072,0.46,0.002,0.007,0.008,0.002,0.003,0.006,0.005,0.006,0.0168,0.0156,0.01,0.0048,1
0.009,0.005,0.008,0.023,0.059,0.0816,0.396,0.072,0.0696,0.082,0.132,0.186,0.279,0.3096,0.2688,0.257,0.293,1.0764,0.392,0.469,0.6791999999999999,0.7752,0.8124,0.758,8.86,1.1303999999999998,1.2,0.856,3.395,0.559,0.415,0.295,0.202,0.069,0.234,0.2592,0.222,1.668,0.231,0.144,0.755,0.522,0.88,0.17039999999999997,0.091,0.0504,0.047,0.288,0.0192,0.0048,0.0024,0.006,0.004,0.0096,0.013199999999999998,0.005,0.003,0.012,0.006,0.003,1
0.038,0.032,0.042,0.035,0.2148,0.164,0.356,0.0984,0.178,0.205,0.314,0.312,0.369,0.388,0.585,0.787,0.974,3.0,1.1807999999999998,0.861,0.844,0.906,1.17,0.403,5.95,0.679,0.639,0.5,2.79,0.483,0.5676,0.332,0.397,0.4668,0.231,0.104,0.1572,0.258,0.257,0.318,1.325,0.813,0.855,0.058,0.123,0.66,0.22,0.642,0.042,0.0192,0.009,0.006,0.0048,0.0096,0.01,0.006,0.0072,0.006,0.004,0.005,1
0.028,0.0048,0.01,0.0348,0.056,0.093,0.412,0.088,0.32,0.2292,0.158,0.111,0.24,0.117,0.142,0.222,0.266,0.813,0.386,0.572,0.68,0.875,1.0,0.895,4.21,0.917,1.1172,0.905,4.938,0.699,0.583,0.492,0.5472,0.516,0.6803999999999999,0.528,0.514,1.3464,0.228,0.238,0.654,0.129,0.535,0.058,0.01,0.141,0.041,0.145,0.019,0.009,0.0024,0.004,0.008,0.01,0.01,0.002,0.008,0.003,0.003,0.003,1
0.009,0.122,0.114,0.12,0.04,0.14759999999999998,1.0,0.457,0.659,1.016,0.402,0.09960000000000001,0.3,0.4752,0.377,0.383,0.125,0.408,0.268,0.919,0.978,0.3888,0.194,0.187,0.44,0.344,0.59,0.591,2.28,0.733,0.197,0.558,0.621,0.868,0.862,1.1256,0.833,2.844,0.672,0.5327999999999999,2.58,1.143,0.78,0.145,0.266,0.543,0.17,1.536,0.226,0.02,0.0576,0.023,0.036,0.07,0.016,0.066,0.02,0.017,0.024,0.015,0
0.022,0.034,0.039,0.024,0.108,0.116,0.56,0.202,0.115,0.178,0.408,0.49319999999999997,0.397,0.508,0.651,0.9684,0.982,3.5999999999999996,0.941,0.845,0.811,1.0151999999999999,1.242,0.582,3.87,1.64,0.672,0.299,2.505,0.663,0.575,0.406,0.375,0.348,0.158,0.142,0.213,0.6732,0.1,0.288,1.12,0.609,0.355,0.322,0.334,0.51,0.183,1.4,0.051,0.022,0.012,0.0036,0.01,0.008,0.008,0.010799999999999999,0.0036,0.003,0.001,0.0084,1
0.018,0.05279999999999999,0.048,0.07,0.1944,0.10679999999999999,0.24,0.1284,0.318,0.292,0.3924,0.304,0.3636,0.3108,0.168,0.1572,0.28,1.356,0.664,1.536,0.696,0.439,0.29159999999999997,0.289,2.485,0.9803999999999999,2.0,0.924,4.26,0.9264,0.577,0.519,0.682,0.622,0.505,0.716,0.381,1.143,0.336,0.277,2.19,1.3788,1.725,0.21,0.103,0.24,0.07,0.318,0.048,0.012,0.012,0.024,0.011,0.01,0.006,0.0024,0.003,0.006,0.007,0.002,0
0.029,0.045,0.028,0.017,0.038,0.1188,0.96,0.366,0.21,0.304,0.598,0.51,0.634,0.9839999999999999,1.2,0.999,1.1412,2.706,1.446,0.512,0.207,0.398,0.589,0.3444,1.02,0.578,0.539,0.375,1.705,0.507,1.116,0.5736,0.33,0.22,0.141,0.572,0.381,1.248,0.405,0.66,1.355,1.59,0.432,0.124,0.119,0.327,0.0744,0.245,0.052,0.008,0.01,0.004,0.001,0.008,0.001,0.010799999999999999,0.006,0.003,0.005,0.0072,1
0.01,0.031,0.0648,0.0492,0.0732,0.104,0.408,0.139,0.3108,0.374,0.846,0.45,0.54,0.516,0.333,0.35,0.686,1.026,0.406,0.683,0.765,0.667,0.6839999999999999,0.6,3.888,0.861,0.982,0.938,8.44,0.607,0.54,0.8267999999999999,0.598,0.324,0.0624,0.316,0.359,1.164,0.572,0.862,1.525,1.317,2.15,0.483,1.016,0.585,0.1848,1.02,0.105,0.05,0.036,0.018,0.0024,0.01,0.013,0.004,0.004,0.0036,0.003,0.003,0
0.021,0.0144,0.02,0.208,0.2016,0.0504,0.288,0.083,0.098,0.069,0.112,0.174,0.271,0.309,0.358,0.6,1.202,1.941,0.807,0.901,1.0692,1.868,1.0,1.092,5.1,0.787,0.769,0.772,3.135,0.43,0.208,0.12,0.166,0.262,0.4632,0.4752,0.39,0.69,0.325,0.4824,2.6039999999999996,1.203,1.685,0.252,0.42,0.42479999999999996,0.115,0.55,0.029,0.036,0.01,0.024,0.012,0.006,0.003,0.01,0.0096,0.011,0.0192,0.0156,0
0.072,0.085,0.07079999999999999,0.022,0.086,0.18,0.768,0.22799999999999998,0.35519999999999996,0.419,0.487,1.05,0.596,0.8232,1.714,1.1663999999999999,0.869,2.613,0.895,1.1904,0.898,0.816,0.837,0.754,2.945,0.549,0.564,0.541,2.39,0.444,0.37,0.257,0.148,0.20879999999999999,0.14759999999999998,0.1908,0.18,0.432,0.167,0.3156,1.115,0.372,0.522,0.209,0.15,0.204,0.09,0.465,0.0792,0.010799999999999999,0.022,0.015,0.024,0.01,0.02,0.0048,0.0084,0.01,0.0096,0.0144,0
0.022,0.038,0.048,0.048,0.065,0.07079999999999999,0.3,0.01,0.068,0.1788,0.1392,0.165,0.383,0.36,0.171,0.114,0.035,1.14,0.74,0.992,0.98,0.889,0.8052,0.429,1.685,0.737,0.961,0.735,2.43,0.1908,0.301,0.41,0.317,0.33,0.4092,0.219,0.492,0.819,0.168,0.558,1.28,0.522,1.06,0.11,0.1176,0.381,0.146,0.58,0.156,0.088,0.0072,0.014,0.0156,0.014,0.006,0.006,0.006,0.009,0.0072,0.004,1
